"Event","Frequency"
"[name] doubled down the [fieldLocation] (count)","17"
"[name] singled up the middle","1"
"[name] singled through the left side, 2 RBI (count)","4"
"[name] grounded out to [position], SAC","1"
"[name] struck out swinging, hit into double play [position] unassisted","1"
"[name] tripled down the [position] line (count)","2"
"[name] popped up to [position] (count)","117"
"[name] lined into double play [position] unassisted (count)","2"
"[name] singled up the middle, RBI (count)","14"
"[name] singled to [fieldLocation], 2 RBI, out at [base] [position] to [position] (count)","1"
"[name] singled to [fieldLocation], bunt, RBI (count)","1"
"[name] singled down the [fieldLocation], RBI (count)","2"
"[name] flied out to [position] (count)","424"
"[name] tripled to [fieldLocation] (count)","10"
"[name] grounded out to [position] unassisted, RBI (count)","2"
"[name] advanced to [base] on a passed ball","29"
"[name] doubled down the [fieldLocation], advanced to [base] on a fielding error by [position] (count)","1"
"[name] grounded out to [position], bunt (count)","10"
"[name] doubled, out at [base] [position] to [position], RBI","1"
"[name] lined out to [position] to [fieldLocation] (count)","2"
"[name] doubled down the [fieldLocation], ground-rule (count)","1"
"[name] grounded into double play [position] to [position] (count)","5"
"[name] homered to [fieldLocation], RBI","3"
"[name] out at [base] [position] to [position], SAC, bunt, RBI (count)","2"
"[name] advanced to [base], advanced to [base] on a wild pitch","1"
"[name] infield fly to [position]","2"
"[name] singled to pitcher","1"
"[name] grounded out to [position] unassisted, SAC, bunt, RBI (count)","1"
"[name] advanced to [base] on the throw","3"
"[name] out at [base] [position] to [position], SAC, bunt (count)","24"
"[name] struck out swinging, reached [base] on a wild pitch","1"
"[name] grounded out to [position] unassisted","6"
"[name] struck out swinging, out at [base] [position] to [position]","3"
"[name] homered down the [position] line, RBI (count)","1"
"[name] out at [base] [position] to [position], caught stealing","47"
"[name] scored, unearned","69"
"[name] reached on a fielder's choice, bunt (count)","1"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position] (count)","1"
"[name] struck out swinging, out at [base] [position] to [position] (count)","38"
"[name] singled, advanced to [base] on a throwing error by [position] (count)","2"
"[name] struck out swinging, reached [base] on a passed ball (count)","3"
"[name] singled through the left side","1"
"[name] singled to [fieldLocation], RBI, advanced to [base] on the throw (count)","1"
"[name] singled to [fieldLocation], RBI (count)","58"
"[name] doubled to [fieldLocation], ground-rule (count)","3"
"[name] infield fly to [position] (count)","4"
