"Game ID","Team","Player ID","Player","Lineup Position","Games","PO","A","E","CI","PB","SBA","CSB","IDP","TP","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Belmont","1203134","Mitchell, Zac","1:25, 3:2","27","52.0","81.0","6.0","0.0","0.0","0.0","0.0","14.0","0.0","0","0","0","27","1","4","0","0","0","0","0","0"
"0","Belmont","1203135","Buckelew, James","18:1, 12:2, 13:2, 14:1","6","1.0","8.0","0.0","0.0","0.0","7.0","1.0","0.0","0.0","6","0","0","0","0","0","0","0","0","0","0","0"
"0","Belmont","1203133","Brody, Greg","3:9, 4:9, 5:1","19","13.0","36.0","4.0","0.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","19","1","0","0","0","0","0","0"
"0","Belmont","1310765","Beaty, Matt","3:2, 4:5, 5:10, 6:8, 7:1, 10:1","27","173.0","28.0","2.0","0.0","0.0","0.0","0.0","13.0","0.0","0","0","17","0","8","0","0","0","0","2","1","0"
"0","Belmont","1310766","Bowles, Tim","10:2, 11:1, 13:2, 14:1","6","0.0","1.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","6","0","0","0","0","0","0","0","0","0","0","0"
"0","Belmont","1310767","Coley, Austin","16:1, 17:1, 10:3, 11:2, 12:1, 13:2, 14:1","11","2.0","3.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","11","0","0","0","0","0","0","0","0","0","0","0"
"0","North Georgia","1305234","Toorie, Tremayne","7:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","1","0","0","0","0","0"
"0","North Georgia","1214992","Gordon, Andrew","8:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1","0","0","0"
"0","North Georgia","-3300","Erisman, Jordan","1:1","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","1","0","0","0","0","0","0","0"
"0","North Georgia","1305232","Naraine, Travis","6:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","North Georgia","-3301","Black, Matthew","4:1","1","11.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"0","North Georgia","-3302","Jones, Terrell","5:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","1","0","1","0","0","0"
"0","North Georgia","-3303","Carpenter, Dustin","10:1","1","3.0","4.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"0","North Georgia","-3304","Hobby, Blake","11:1","1","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","North Georgia","-3305","Patten, Reese","13:1","1","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","North Georgia","1076506","Bellavance, Kenny","3:1","1","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","1","0","0","0","0"
"0","North Georgia","1214987","Hooper, Derek","2:1","1","3.0","5.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","1","0","0","0","0","0","0","0","0"
"0","North Georgia","1305231","Beauchamp, Jacob","14:1","1","1.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","North Georgia","1214991","Spivey, Eason","9:1","1","2.0","2.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0","1","0","0","0","0","0","0","0","0","0","0"
"0","North Georgia","1305229","Taylor, Phillip","12:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Longwood","1098736","Shelton, Bobby","16:1, 3:1, 9:1, 10:1, 11:2, 13:1","7","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","4","0","0","0","0","0","0","0","2","0","0","2"
"0","Longwood","1098739","Morgan, Kyler","12:1, 13:2, 14:1, 15:1","5","0.0","8.0","1.0","0.0","0.0","5.0","0.0","1.0","0.0","5","0","0","0","0","0","0","0","0","0","0","0"
"0","Longwood","1324510","Biddix, Travis","2:6, 3:1, 6:2, 7:2, 8:2, 9:1, 10:1, 11:2, 13:1","18","32.0","53.0","7.0","0.0","0.0","0.0","0.0","10.0","0.0","0","0","0","18","0","0","0","0","0","0","0","0"
"0","Longwood","1324511","Hall, Conner","2:1, 4:1, 6:1, 7:2, 8:1, 9:2, 10:1, 11:2","11","15.0","4.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","1","4","0","0","0","5","0","3","0"
"0","Longwood","1213631","Hall, Kyle","8:1, 10:1, 12:1, 13:1","4","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","1","0","1","0","0","1"
"0","Longwood","1213634","Schubert, Ryan","4:1, 10:1, 13:2, 14:1, 15:1","6","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","5","0","0","0","0","0","0","1","0","0","0","0"
"0","Longwood","1324516","Myers, Aaron","10:2, 11:3, 12:2, 14:2","9","7.0","2.0","1.0","0.0","0.0","2.0","0.0","3.0","0.0","8","0","1","0","0","0","0","0","0","0","0","0"
"0","Longwood","1324517","Vick, Brandon","13:4, 14:1","5","0.0","3.0","0.0","0.0","0.0","4.0","2.0","0.0","0.0","5","0","0","0","0","0","0","0","0","0","0","0"
"0","Longwood","1213632","Mihalko, Zach","5:1, 7:2, 8:2, 9:5, 10:4, 11:2, 13:1","17","36.0","1.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0","0","7","0","0","0","1","1","3","4","3","0"
"0","Longwood","1213633","Ramsey, Cory","12:2, 13:2, 14:1","5","2.0","1.0","1.0","0.0","0.0","5.0","1.0","0.0","0.0","5","0","0","0","0","0","0","0","0","0","0","0"
"0","Longwood","1324512","Jordan, Zach","8:1, 9:3, 10:3, 12:4, 15:1","12","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","5","0","0","0","0","0","5","0","3","1","1","0"
