"Game ID","Team","Player ID","Player","Lineup Position","Games","G","PO","TC","A","E","CI","PB","SBA","CSB","IDP","TP","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","UMass Lowell","1993492","Mejia, Jeff","9:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","UMass Lowell","1659315","Prada, Ben","9:1, 10:1, 11:1","3","3.0","6.0","12.0","6.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","3","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1887031","Maiola, Colby","4:2, 7:1","3","3.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","2","0","1","0","0"
"0","UMass Lowell","1768433","Tumosa, Mark","6:1, 7:1","2","2.0","3.0","7.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","1","2","0","0","0","0","0","0","0"
"0","UMass Lowell","1993491","Maurice, Kyle","8:1, 11:1","2","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","0","0","0","0","0","2","0"
"0","UMass Lowell","1659316","Ryan, Andrew","13:1","1","1.0","0.0","2.0","2.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1993489","Funaro, Henry","11:1","1","1.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1659304","Barry, Nick","10:1, 12:1","2","2.0","18.0","21.0","3.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0","2","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1768430","Rand, Nick","16:1, 12:1","2","2.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1993510","Riley, Jack","13:1","1","1.0","1.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1993508","Martin, Vinnie","1:3","3","3.0","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","3","0","0","0"
"0","UMass Lowell","1768416","Duffley, Collin","17:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1768422","Olive, Russ","3:3","3","3.0","15.0","18.0","2.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","2","0","0","0","0","0","0","1","0","0"
"0","UMass Lowell","1887040","Leathersich, Ted","8:1, 9:1","2","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","2","0","0"
"0","UMass Lowell","1768423","Passatempo, Steve","2:2","2","2.0","16.0","18.0","2.0","0.0","0.0","0.0","5.0","0.0","2.0","0.0","0","1","1","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1993507","Castellanos, Joey","6:2, 10:1","3","3.0","2.0","5.0","2.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","3","0","0","0","0","0","0"
"0","UMass Lowell","1768421","Marchena, Oscar","2:1","1","1.0","1.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","1","1","0","0","0","0","0","0"
"0","Col. of Charleston","1764731","Wondrack, Danny","4:1, 5:2","3","3.0","29.0","34.0","5.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","2","0","0","0","0","0","0","0","1","0","0"
"0","Col. of Charleston","1996991","Garrett, Cameron","6:2, 8:1","3","3.0","10.0","13.0","3.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0","1","0","0","0","0","1","0","0","1","0","0"
"0","Col. of Charleston","1764728","Hart, Dupree","1:3","3","3.0","5.0","9.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","3","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1996988","Ward, Bryson","4:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","Col. of Charleston","1764734","Sisk, Evan","14:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1879321","Sechopoulos, Ari","5:1, 10:2","3","3.0","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","3","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1764732","Baker, Justin","12:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1879322","McLarty, Griffin","13:1","1","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1646992","Love, Carter","11:1, 13:1","2","2.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1764727","Manzo, Luke","9:3","3","3.0","5.0","8.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3","0","0","0","0","0","0"
"0","Col. of Charleston","1646985","Richter, Tommy","7:1, 8:2","3","3.0","4.0","8.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","3","0","0","0","0","0","0","0"
"0","Col. of Charleston","1764745","Mundy, Joey","3:1, 10:1","2","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","2","0","0","0","0","0"
"0","Col. of Charleston","1646986","Dixon, Bradley","6:1, 7:2","3","3.0","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","3","0","0","0"
"0","Col. of Charleston","1646990","McRae, Logan","3:2, 4:1","3","3.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","2","0","0","1","0","0"
"0","Col. of Charleston","1764739","Ocker, Nathan","12:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1764737","Hunt, Clay","11:2","2","2.0","8.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1879335","Frishmuth, Jakob","12:1","1","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1879330","Morgan, Luke","2:3","3","3.0","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","3","0","0","0","0"
"0","Tennessee","1977496","Springer, Sam","20:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1977492","Hunley, Sean","18:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1977491","Daniels, Zach","12:1, 13:1","2","2.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","1","1","0","1","0","0"
