"Year","Year ID","Division","Team Conference","Team Name","Team ID","Team URL","Game Date","Opponent Conference","Opponent Name","Opponent ID","Opponent URL","Neutral Site","Location","Home Game","Team Won","Score","Team Score","Opponent Score","Extra Innings","Innings","Game ID","Game URL"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/30/2018","Big Ten","Indiana","306","http://stats.ncaa.org/team/306/12973","false","Indiana","Indiana","Indiana","5-6","5","6","false","","4541764","http://stats.ncaa.org/game/index/4541764?org_id=306"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/31/2018","Big Ten","Indiana","306","http://stats.ncaa.org/team/306/12973","false","Indiana","Indiana","Indiana","3-10","3","10","false","","4548136","http://stats.ncaa.org/game/index/4548136?org_id=306"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/07/2018","Big East","Creighton","169","http://stats.ncaa.org/team/169/12973","true","Edwardsville, Ill.","Neutral","Butler","6-4","6","4","false","","4549710","http://stats.ncaa.org/game/index/4549710?org_id=169"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/08/2018","Big East","Creighton","169","http://stats.ncaa.org/team/169/12973","true","Edwardsville, Ill.","Neutral","Creighton","2-3","2","3","false","","4550595","http://stats.ncaa.org/game/index/4550595?org_id=169"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/10/2018","Summit League","Purdue Fort Wayne","308","http://stats.ncaa.org/team/308/12973","false","Purdue Fort Wayne","Purdue Fort Wayne","Butler","9-5","9","5","false","","4552785","http://stats.ncaa.org/game/index/4552785?org_id=308"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/11/2018","OVC","Morehead St.","444","http://stats.ncaa.org/team/444/12973","false","Butler","Butler","Butler","4-2","4","2","false","","4553939","http://stats.ncaa.org/game/index/4553939?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/13/2018","Big East","Villanova","739","http://stats.ncaa.org/team/739/12973","false","Villanova","Villanova","Butler","13-5","13","5","false","","4555926","http://stats.ncaa.org/game/index/4555926?org_id=739"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/14/2018","Big East","Villanova","739","http://stats.ncaa.org/team/739/12973","false","Villanova","Villanova","Butler","4-3","4","3","false","","4558218","http://stats.ncaa.org/game/index/4558218?org_id=739"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/15/2018","Big East","Villanova","739","http://stats.ncaa.org/team/739/12973","false","Villanova","Villanova","Butler","5-4","5","4","false","","4558458","http://stats.ncaa.org/game/index/4558458?org_id=739"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/17/2018","OVC","Eastern Ill.","201","http://stats.ncaa.org/team/201/12973","false","Eastern Ill.","Eastern Ill.","Butler","6-3","6","3","false","","4559982","http://stats.ncaa.org/game/index/4559982?org_id=201"
