Game ID,Team,Player ID,Player,Lineup Position,G,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,RBI2out
4499325,James Madison,1772229,"Marsili, Matt",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499325,James Madison,1997553,"Goggin, Dan",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499325,James Madison,,Totals,0,0,5,33,8,1,0,18,3,5,3,1,0,1,15,0,1,0,2,0
4499325,High Point,1649018,"Zente, Austen",CF,0,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4499325,High Point,1759786,"Dunbar, Conner",SS,0,0,3,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0
4499325,High Point,1976693,"Holt, Travis",3B,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4499325,High Point,1649015,"Lee, Hunter",2B,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4499325,High Point,1871428,"Johnson, Joe",RF,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4499325,High Point,1976695,"Wells, Tanner",LF,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4499325,High Point,1759795,"Woodard, JJ",1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499325,High Point,1976706,"Kates, Jacob",1B,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4499325,High Point,1649008,"Brown, Spencer",C,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4499325,High Point,1976698,"Winger, Jacob",PRDH,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4499325,High Point,1976701,"Millwee, Daniel",PH,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4499325,High Point,1976681,"Dipino, Paul",PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499325,High Point,1871441,"Scavone, Gabe",DH,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4499325,High Point,1871429,"Letchworth, Garrett",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499325,High Point,1666786,"Vizcaino, Jonny",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499325,High Point,1871430,"Lyttle, Grey",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499325,High Point,1759788,"Gottfried, Andrew",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499325,High Point,,Totals,0,0,1,33,6,0,0,6,0,1,5,0,0,0,7,2,0,0,1,0
