Game ID,Team,Player ID,Player,Lineup Position,G,PO,TC,A,E,CI,PB,SBA,CSB,IDP,TP
4499325,High Point,1666786,"Vizcaino, Jonny",P,1,0,0,0,0,0,0,2,0,0,0
4499325,High Point,1871430,"Lyttle, Grey",P,1,0,2,2,0,0,0,0,0,0,0
4499325,High Point,1759788,"Gottfried, Andrew",P,1,0,1,1,0,0,0,0,0,0,0
4499325,High Point,,Totals,0,1,27,35,7,1,0,0,2,1,0,0
4505587,James Madison,1870455,"Semones, Fox",2B,1,2,4,2,0,0,0,0,0,0,0
4505587,James Madison,1643276,"Sisk, Adam",RF,1,2,2,0,0,0,0,0,0,0,0
4505587,James Madison,1870413,"Griffin, Davonn",PRLF,1,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1870454,"Brown, Harry",LF,1,2,2,0,0,0,0,0,0,0,0
4505587,James Madison,1997554,"Hartigan, Conor",DH,1,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1772214,"Dofflemyer, Tanner",PH1B,1,2,3,1,0,0,0,0,0,0,0
4505587,James Madison,1997572,"Morgan, Michael",1B,1,7,8,0,1,0,0,0,0,0,0
4505587,James Madison,1643277,"Sciorra, Michael",CF,1,1,1,0,0,0,0,0,0,0,0
4505587,James Madison,1997556,"Jones, Josh",SS,1,0,3,3,0,0,0,0,0,0,0
4505587,James Madison,1643272,"McKay, Bradley",3B,1,0,1,1,0,0,0,0,0,0,0
4505587,James Madison,1870450,"Hayes, Kyle",C,1,9,11,1,1,0,1,3,0,0,0
4505587,James Madison,1997560,"Stewart, Nick",P,1,0,0,0,0,0,0,2,0,0,0
4505587,James Madison,1758478,"Perkins, Shelton",P,1,1,1,0,0,0,0,1,0,0,0
4505587,James Madison,1870465,"Colon, Matt",P,1,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1997567,"Ayer, Brett",P,1,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1870459,"Robertson, Nick",P,1,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1772212,"Bourne, Christian",P,1,1,1,0,0,0,0,0,0,0,0
4505587,James Madison,,Totals,0,1,27,37,8,2,0,1,3,0,0,0
4505587,High Point,1649018,"Zente, Austen",CF,1,2,2,0,0,0,0,0,0,0,0
4505587,High Point,1759786,"Dunbar, Conner",SS,1,1,4,3,0,0,0,0,0,1,0
4505587,High Point,1976693,"Holt, Travis",1B,1,8,8,0,0,0,0,0,0,2,0
4505587,High Point,1976701,"Millwee, Daniel",PH,1,0,0,0,0,0,0,0,0,0,0
4505587,High Point,1976695,"Wells, Tanner",LF,1,1,1,0,0,0,0,0,0,0,0
4505587,High Point,1871428,"Johnson, Joe",LF,1,2,2,0,0,0,0,0,0,0,0
4505587,High Point,1649014,"Jackson, Carson",RF,1,3,3,0,0,0,0,0,0,0,0
4505587,High Point,1649015,"Lee, Hunter",2B,1,3,6,3,0,0,0,0,0,2,0
4505587,High Point,1871442,"Schunk, Blake",3B,1,0,2,2,0,0,0,0,0,1,0
4505587,High Point,1871443,"Sergent, Jordan",PDH,1,0,1,1,0,0,0,0,0,0,0
4505587,High Point,1976698,"Winger, Jacob",PR,1,0,0,0,0,0,0,0,0,0,0
4505587,High Point,1649008,"Brown, Spencer",C,1,2,2,0,0,0,0,0,0,0,0
4505587,High Point,1976703,"Smith, Harrison",P,1,0,0,0,0,0,0,1,0,0,0
4505587,High Point,1759791,"Jeffers, Cooper",P,1,0,0,0,0,0,0,0,0,0,0
4505587,High Point,1871433,"Murrah, Rion",P,1,0,1,1,0,0,0,0,0,0,0
4505587,High Point,1759795,"Woodard, JJ",C,1,5,5,0,0,0,0,1,0,0,0
4505587,High Point,,Totals,0,1,27,37,10,0,0,0,1,0,2,0
4501278,James Madison,1870455,"Semones, Fox",2B,1,0,5,5,0,0,0,0,0,0,0
4501278,James Madison,1643276,"Sisk, Adam",RF,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1870413,"Griffin, Davonn",LF,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1870454,"Brown, Harry",LF,1,3,3,0,0,0,0,0,0,0,0
4501278,James Madison,1997554,"Hartigan, Conor",DH,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997555,"Jackson, Dallas",PR,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1772230,"Tondi, Zach",C,1,11,12,0,1,0,0,2,0,0,0
4501278,James Madison,1997572,"Morgan, Michael",1B,1,6,6,0,0,0,0,0,0,0,0
