"Game ID","Team","Player ID","Player","Lineup Position","Games","G","App","GS","IP","CG","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","OrdAppeared","KL","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","UMass Lowell","1659316","Ryan, Andrew","13:1","1","0.0","1.0","1.0","6.0","0.0","7.0","2.0","1.0","1.0","8.0","0.0","27.0","26.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","99.0","3.0","7.0","0.0","0.0","0.0","1.0","1.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1993489","Funaro, Henry","11:1","1","0.0","1.0","0.0","2.0","0.0","1.0","4.0","3.0","4.0","1.0","0.0","12.0","5.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","43.0","3.0","2.0","0.0","1.0","0.0","2.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1659304","Barry, Nick","10:1, 12:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","2","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1768430","Rand, Nick","16:1, 12:1","2","0.0","2.0","0.0","1.1","0.0","1.0","0.0","0.0","1.0","0.0","0.0","6.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","2.0","0.0","15.0","2.0","2.0","0.0","0.0","1.0","8.0","0.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1993510","Riley, Jack","13:1","1","0.0","1.0","1.0","6.1","0.0","6.0","5.0","3.0","5.0","6.0","0.0","30.0","23.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","2.0","0.0","103.0","7.0","5.0","0.0","1.0","0.0","1.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1993508","Martin, Vinnie","1:3","3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","3","0","0","0"
"0","UMass Lowell","1768416","Duffley, Collin","17:1","1","0.0","1.0","1.0","3.0","0.0","1.0","1.0","1.0","4.0","5.0","0.0","13.0","9.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","53.0","2.0","1.0","0.0","0.0","0.0","1.0","2.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1768422","Olive, Russ","3:3","3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","2","0","0","0","0","0","0","1","0","0"
"0","UMass Lowell","1887040","Leathersich, Ted","8:1, 9:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","2","0","0"
"0","UMass Lowell","1768423","Passatempo, Steve","2:2","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","1","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1993507","Castellanos, Joey","6:2, 10:1","3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3","0","0","0","0","0","0"
"0","UMass Lowell","1768421","Marchena, Oscar","2:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","1","1","0","0","0","0","0","0"
"0","Col. of Charleston","1764731","Wondrack, Danny"
"0","Col. of Charleston","1996991","Garrett, Cameron"
"0","Col. of Charleston","1764728","Hart, Dupree"
"0","Col. of Charleston","1996988","Ward, Bryson"
"0","Col. of Charleston","1764734","Sisk, Evan"
"0","Col. of Charleston","1879321","Sechopoulos, Ari"
"0","Col. of Charleston","1764732","Baker, Justin"
"0","Col. of Charleston","1879322","McLarty, Griffin"
"0","Col. of Charleston","1646992","Love, Carter"
"0","Col. of Charleston","1764727","Manzo, Luke"
"0","Col. of Charleston","1646985","Richter, Tommy"
"0","Col. of Charleston","1764745","Mundy, Joey"
"0","Col. of Charleston","1646986","Dixon, Bradley"
"0","Col. of Charleston","1646990","McRae, Logan"
"0","Col. of Charleston","1764739","Ocker, Nathan"
"0","Col. of Charleston","1764737","Hunt, Clay"
"0","Col. of Charleston","1879335","Frishmuth, Jakob"
"0","Col. of Charleston","1879330","Morgan, Luke"
"0","Tennessee","1977496","Springer, Sam"
"0","Tennessee","1977492","Hunley, Sean"
"0","Tennessee","1977491","Daniels, Zach"
"0","Tennessee","1649080","Jackson, Richard"
"0","Tennessee","1867967","Walsh, Redmond"
"0","Tennessee","1867960","Lipcius, Luc"
"0","Tennessee","1867961","Schultz, Andrew"
"0","Tennessee","1867963","Sosnowski, Alex"
"0","Tennessee","1867956","Gobbell, Cal"
"0","Tennessee","1757619","Mascia, Nico"
"0","Tennessee","1867957","Heflin, Will"
"0","Tennessee","1867959","Lipcius, Andre"
"0","Tennessee","1649077","Santiago, Benito"
"0","Tennessee","1867952","Charleston, Jay"
"0","Tennessee","1867953","Chinea, Brandon"
"0","Tennessee","1867954","Darling, Connor"
"0","Tennessee","1867955","Derkay, Pete"
"0","Tennessee","1977457","Benoit, Donovan"
"0","Tennessee","1867951","Ammons, Justin"
"0","Tennessee","1757609","Harper-Cook, Alex"
"0","Tennessee","1977514","Trammell, Brandon"
"0","Tennessee","1977512","Stapp, Wyatt"
"0","Tennessee","1977510","Russell, Evan"
"0","Tennessee","1977509","Plummer, Joshua"
"0","Tennessee","1649063","Leftridge, Brodie"
"0","NC State","1997134","Swiney, Nick"
"0","NC State","1997131","Bailey, Patrick"
"0","NC State","1772035","Conley, Jack"
"0","NC State","1772038","Kinneman, Brett"
"0","NC State","1772036","Cooper, Dillon"
"0","NC State","1997174","Clenney, Nolan"
"0","NC State","1887220","Klyman, Kent"
"0","NC State","1997175","Jarrett, J.T."
"0","NC State","1997173","Justice, Evan"
"0","NC State","1887216","Bienlien, Michael"
"0","NC State","1887218","Gauthier, Mathieu"
"0","NC State","1997168","Harrison, David"
"0","NC State","1997169","Edwards, Evan"
"0","NC State","1887212","McArthur, Lawson"
"0","NC State","1660584","McLain, Josh"
"0","NC State","1887213","Debo, Brad"
"0","NC State","1660587","Pitarra, Stephen"
"0","NC State","1660589","Staley, Austin"
"0","NC State","1660588","Shepard, Shane"
"0","NC State","1997160","Brown, Devonte"
"0","NC State","1887211","Wilson, Will"
"0","NC State","1997158","Vazquez, David"
"0","NC State","1541742","O'Donnell, Joe"
"0","NC State","1997156","Tatum, Terrell"
"0","NC State","1660578","Deatherage, Brock"
"0","St. Bonaventure","1888508","Vincent, Casey","3:1, 6:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","0","0","0","0","0","0","0","1","0"
"0","St. Bonaventure","1980959","Foden, Jake","1:1, 8:1, 9:1","3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","1","2","0"
"0","St. Bonaventure","1666040","Eastman, Matt","5:1, 7:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
"0","St. Bonaventure","1888509","Moffat, Donovan","14:1, 15:1","2","0.0","2.0","0.0","0.30000000000000004","0.0","3.0","1.0","1.0","0.0","0.0","0.0","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","2.0","0.0","0.0","17.0","0.0","3.0","0.0","0.0","1.0","6.0","0.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","St. Bonaventure","1980954","Magnanti, Mike","1:2, 2:1","3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","3","0","0","0","0","0","0","0","0"
"0","St. Bonaventure","1888507","O'Brien, Murphy","13:1","1","0.0","1.0","0.0","0.1","0.0","1.0","2.0","1.0","0.0","1.0","0.0","3.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","St. Bonaventure","1666033","Contento, Ben","16:1","1","0.0","1.0","1.0","5.0","0.0","1.0","0.0","0.0","3.0","11.0","0.0","20.0","16.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","88.0","3.0","1.0","1.0","0.0","0.0","1.0","2.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","St. Bonaventure","1769586","MacDonald, Ben","12:1, 13:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","2","0","0","0","0","0","0","0","0","0","0"
"0","St. Bonaventure","1666032","Grant, Nate","14:1","1","0.0","1.0","1.0","3.1","0.0","7.0","10.0","8.0","5.0","1.0","0.0","23.0","17.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","81.0","4.0","4.0","0.0","1.0","0.0","1.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","St. Bonaventure","1888501","Wild, Roman","14:1","1","0.0","1.0","0.0","3.2","0.0","1.0","0.0","0.0","0.0","3.0","0.0","12.0","12.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.0","5.0","3.0","0.0","0.0","0.0","2.0","1.0","1","0","0","0","0","0","0","0","0","0","0","0"
