"Game ID","Team","Player ID","Player","Lineup Position","Games","App","GS","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","HR-A","WP","Bk","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","OrdAppeared","KL","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Tennessee","1311880","Martin, Eric","16:1, 17:1, 11:1, 13:2","5","5.0","0.0","4.0","4.0","1.0","1.0","1.0","1.0","0.0","17.0","16.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","1.0","0.0","0.0","60.0","4.0","6.0","0.0","0.0","0.0","21.0","1.0","5","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1311882","Powell, Nick","3:1, 4:2, 5:1, 7:2, 8:2, 9:1, 11:2","11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","1","0","0","2","0","0","0","1","8"
"0","Tennessee","1311883","Rowland, Jake","5:3, 6:2, 7:5, 8:2, 10:2","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","10","0","0","2","8","1"
"0","Tennessee","1311862","Allen, Jared","5:1, 6:10, 7:9, 8:3, 9:2, 11:2, 13:1","28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","27","1","4","0"
"0","Tennessee","1105523","Steckenrider, Drew","3:10, 4:15, 5:7, 6:1, 8:1, 9:1, 14:1","36","16.0","2.0","37.0","22.0","12.0","8.0","21.0","48.0","0.0","159.0","128.0","6.0","1.0","1.0","4.0","0.0","6.0","3.0","23.0","6.0","3.0","1.0","669.0","32.0","27.0","3.0","2.0","0.0","50.0","21.0","16","0","6","0","0","0","6","1","9","18","0","0"
"0","Tennessee","1311863","Carter, Richard","6:2, 7:2, 8:2, 9:2, 10:3, 12:1, 14:1","13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","10","0","1","0","4","0"
"0","Tennessee","1105527","Daniel, Hunter","3:1, 8:1, 9:1, 11:1, 12:1, 13:1, 15:1","7","1.0","0.0","0.2","3.0","3.0","3.0","1.0","0.0","0.0","6.0","5.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","1.0","1.0","0.0","1.0","0.0","5.0","0.0","1","0","2","0","0","0","1","0","0","1","2","1"
"0","Tennessee","1194686","Pierce, Chris","2:4, 3:10, 4:1, 5:2, 6:8, 7:2, 8:3, 9:5, 12:1","36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","10","0","22","4","13","0","0","2"
"0","Tennessee","1105533","Yates, Andy"
"0","Tennessee","993151","Osborne, Zach","2:16, 3:3, 4:2, 9:1, 10:3, 11:6, 12:1, 13:2, 14:1, 15:1","36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","36","0","0","0","0","0","0"
