"Year","Year ID","Division","Conference","Team Name","Team ID","Team URL"
"2012","10942","1","","Rice","574","http://stats.ncaa.org/team/574/10942"
"2012","10942","1","","Richmond","575","http://stats.ncaa.org/team/575/10942"
"2012","10942","1","","Rider","576","http://stats.ncaa.org/team/576/10942"
"2012","10942","1","","Rutgers","587","http://stats.ncaa.org/team/587/10942"
"2012","10942","1","","SFA","676","http://stats.ncaa.org/team/676/10942"
"2012","10942","1","","SIUE","660","http://stats.ncaa.org/team/660/10942"
"2012","10942","1","","Sacramento St.","102","http://stats.ncaa.org/team/102/10942"
"2012","10942","1","","Sacred Heart","590","http://stats.ncaa.org/team/590/10942"
"2012","10942","1","","Saint Joseph's","606","http://stats.ncaa.org/team/606/10942"
"2012","10942","1","","Saint Louis","609","http://stats.ncaa.org/team/609/10942"
"2012","10942","1","","Saint Mary's (CA)","610","http://stats.ncaa.org/team/610/10942"
"2012","10942","1","","Saint Peter's","617","http://stats.ncaa.org/team/617/10942"
"2012","10942","1","","Sam Houston St.","624","http://stats.ncaa.org/team/624/10942"
"2012","10942","1","","Samford","625","http://stats.ncaa.org/team/625/10942"
"2012","10942","1","","San Diego","627","http://stats.ncaa.org/team/627/10942"
"2012","10942","1","","San Diego St.","626","http://stats.ncaa.org/team/626/10942"
"2012","10942","1","","San Francisco","629","http://stats.ncaa.org/team/629/10942"
"2012","10942","1","","San Jose St.","630","http://stats.ncaa.org/team/630/10942"
"2012","10942","1","","Santa Clara","631","http://stats.ncaa.org/team/631/10942"
"2012","10942","1","","Savannah St.","632","http://stats.ncaa.org/team/632/10942"
"2012","10942","1","","Seattle U","1356","http://stats.ncaa.org/team/1356/10942"
"2012","10942","1","","Seton Hall","635","http://stats.ncaa.org/team/635/10942"
"2012","10942","1","","Siena","639","http://stats.ncaa.org/team/639/10942"
"2012","10942","1","","South Alabama","646","http://stats.ncaa.org/team/646/10942"
"2012","10942","1","","South Carolina","648","http://stats.ncaa.org/team/648/10942"
"2012","10942","1","","South Dakota St.","649","http://stats.ncaa.org/team/649/10942"
"2012","10942","1","","South Fla.","651","http://stats.ncaa.org/team/651/10942"
"2012","10942","1","","Southeast Mo. St.","654","http://stats.ncaa.org/team/654/10942"
"2012","10942","1","","Southeastern La.","655","http://stats.ncaa.org/team/655/10942"
"2012","10942","1","","Southern California","657","http://stats.ncaa.org/team/657/10942"
"2012","10942","1","","Southern Ill.","659","http://stats.ncaa.org/team/659/10942"
"2012","10942","1","","Southern Miss.","664","http://stats.ncaa.org/team/664/10942"
"2012","10942","1","","Southern U.","665","http://stats.ncaa.org/team/665/10942"
"2012","10942","1","","Southern Utah","667","http://stats.ncaa.org/team/667/10942"
"2012","10942","1","","St. Bonaventure","596","http://stats.ncaa.org/team/596/10942"
"2012","10942","1","","St. John's (NY)","603","http://stats.ncaa.org/team/603/10942"
"2012","10942","1","","Stanford","674","http://stats.ncaa.org/team/674/10942"
"2012","10942","1","","Stetson","678","http://stats.ncaa.org/team/678/10942"
"2012","10942","1","","Stony Brook","683","http://stats.ncaa.org/team/683/10942"
"2012","10942","1","","TCU","698","http://stats.ncaa.org/team/698/10942"
"2012","10942","1","","Temple","690","http://stats.ncaa.org/team/690/10942"
"2012","10942","1","","Tennessee","694","http://stats.ncaa.org/team/694/10942"
"2012","10942","1","","Tennessee Tech","692","http://stats.ncaa.org/team/692/10942"
"2012","10942","1","","Texas","703","http://stats.ncaa.org/team/703/10942"
"2012","10942","1","","Texas A&M","697","http://stats.ncaa.org/team/697/10942"
"2012","10942","1","","Texas Southern","699","http://stats.ncaa.org/team/699/10942"
"2012","10942","1","","Texas St.","670","http://stats.ncaa.org/team/670/10942"
"2012","10942","1","","Texas Tech","700","http://stats.ncaa.org/team/700/10942"
"2012","10942","1","","The Citadel","141","http://stats.ncaa.org/team/141/10942"
"2012","10942","1","","Toledo","709","http://stats.ncaa.org/team/709/10942"
"2012","10942","1","","Towson","711","http://stats.ncaa.org/team/711/10942"
"2012","10942","1","","Troy","716","http://stats.ncaa.org/team/716/10942"
"2012","10942","1","","Tulane","718","http://stats.ncaa.org/team/718/10942"
"2012","10942","1","","UAB","9","http://stats.ncaa.org/team/9/10942"
"2012","10942","1","","UC Davis","108","http://stats.ncaa.org/team/108/10942"
"2012","10942","1","","UC Irvine","109","http://stats.ncaa.org/team/109/10942"
"2012","10942","1","","UC Riverside","111","http://stats.ncaa.org/team/111/10942"
"2012","10942","1","","UC Santa Barbara","104","http://stats.ncaa.org/team/104/10942"
"2012","10942","1","","UCF","128","http://stats.ncaa.org/team/128/10942"
"2012","10942","1","","UCLA","110","http://stats.ncaa.org/team/110/10942"
"2012","10942","1","","UConn","164","http://stats.ncaa.org/team/164/10942"
"2012","10942","1","","UIC","302","http://stats.ncaa.org/team/302/10942"
"2012","10942","1","","UMBC","391","http://stats.ncaa.org/team/391/10942"
"2012","10942","1","","UMES","393","http://stats.ncaa.org/team/393/10942"
"2012","10942","1","","UNC Asheville","456","http://stats.ncaa.org/team/456/10942"
"2012","10942","1","","UNC Greensboro","459","http://stats.ncaa.org/team/459/10942"
"2012","10942","1","","UNCW","460","http://stats.ncaa.org/team/460/10942"
"2012","10942","1","","UNLV","465","http://stats.ncaa.org/team/465/10942"
"2012","10942","1","","USC Upstate","10411","http://stats.ncaa.org/team/10411/10942"
"2012","10942","1","","UT Arlington","702","http://stats.ncaa.org/team/702/10942"
"2012","10942","1","","UT Martin","695","http://stats.ncaa.org/team/695/10942"
"2012","10942","1","","UTRGV","536","http://stats.ncaa.org/team/536/10942"
"2012","10942","1","","UTSA","706","http://stats.ncaa.org/team/706/10942"
"2012","10942","1","","Utah","732","http://stats.ncaa.org/team/732/10942"
"2012","10942","1","","Utah Valley","30024","http://stats.ncaa.org/team/30024/10942"
"2012","10942","1","","VCU","740","http://stats.ncaa.org/team/740/10942"
"2012","10942","1","","VMI","741","http://stats.ncaa.org/team/741/10942"
"2012","10942","1","","Valparaiso","735","http://stats.ncaa.org/team/735/10942"
"2012","10942","1","","Vanderbilt","736","http://stats.ncaa.org/team/736/10942"
"2012","10942","1","","Villanova","739","http://stats.ncaa.org/team/739/10942"
"2012","10942","1","","Virginia","746","http://stats.ncaa.org/team/746/10942"
"2012","10942","1","","Virginia Tech","742","http://stats.ncaa.org/team/742/10942"
"2012","10942","1","","Wagner","748","http://stats.ncaa.org/team/748/10942"
"2012","10942","1","","Wake Forest","749","http://stats.ncaa.org/team/749/10942"
"2012","10942","1","","Washington","756","http://stats.ncaa.org/team/756/10942"
"2012","10942","1","","Washington St.","754","http://stats.ncaa.org/team/754/10942"
"2012","10942","1","","West Virginia","768","http://stats.ncaa.org/team/768/10942"
"2012","10942","1","","Western Caro.","769","http://stats.ncaa.org/team/769/10942"
"2012","10942","1","","Western Ill.","771","http://stats.ncaa.org/team/771/10942"
"2012","10942","1","","Western Ky.","772","http://stats.ncaa.org/team/772/10942"
"2012","10942","1","","Western Mich.","774","http://stats.ncaa.org/team/774/10942"
"2012","10942","1","","Wichita St.","782","http://stats.ncaa.org/team/782/10942"
"2012","10942","1","","William & Mary","786","http://stats.ncaa.org/team/786/10942"
"2012","10942","1","","Winthrop","792","http://stats.ncaa.org/team/792/10942"
"2012","10942","1","","Wofford","2915","http://stats.ncaa.org/team/2915/10942"
"2012","10942","1","","Wright St.","810","http://stats.ncaa.org/team/810/10942"
"2012","10942","1","","Xavier","812","http://stats.ncaa.org/team/812/10942"
"2012","10942","1","","Yale","813","http://stats.ncaa.org/team/813/10942"
"2012","10942","1","","Youngstown St.","817","http://stats.ncaa.org/team/817/10942"
