"Year","Conference ID","Conference Name","Conference URL"
"2012","-1","ALL TEAMS","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=-1&schedule_date="
"2012","823","AAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=823&schedule_date="
"2012","821","ACC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=821&schedule_date="
"2012","920","ASUN","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=920&schedule_date="
"2012","845","America East","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=845&schedule_date="
"2012","820","Atlantic 10","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=820&schedule_date="
"2012","25354","Big 12","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=25354&schedule_date="
"2012","826","Big South","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=826&schedule_date="
"2012","827","Big Ten","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=827&schedule_date="
"2012","904","Big West","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=904&schedule_date="
"2012","24312","C-USA","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=24312&schedule_date="
"2012","837","CAA","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=837&schedule_date="
"2012","30062","GWC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=30062&schedule_date="
"2012","881","Horizon","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=881&schedule_date="
"2012","865","Ivy League","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=865&schedule_date="
"2012","871","MAAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=871&schedule_date="
"2012","875","MAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=875&schedule_date="
"2012","876","MEAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=876&schedule_date="
"2012","884","MVC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=884&schedule_date="
"2012","5486","MWC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=5486&schedule_date="
"2012","846","NEC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=846&schedule_date="
"2012","902","OVC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=902&schedule_date="
"2012","905","Pac-12","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=905&schedule_date="
"2012","838","Patriot","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=838&schedule_date="
"2012","911","SEC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=911&schedule_date="
"2012","916","SWAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=916&schedule_date="
"2012","912","SoCon","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=912&schedule_date="
"2012","914","Southland","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=914&schedule_date="
"2012","819","Summit League","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=819&schedule_date="
"2012","818","Sun Belt","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=818&schedule_date="
"2012","923","WAC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=923&schedule_date="
"2012","922","WCC","http://stats.ncaa.org/team/inst_team_list?sport_code=MBA&academic_year=2012&division=1&conf_id=922&schedule_date="
