"Game ID","Team","Player ID","Player","Lineup Position","Games","G","App","GS","IP","CG","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","OrdAppeared","KL","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Milwaukee","1753546","Fischer, Alex","10:1, 11:1, 14:1, 15:1","4","0.0","4.0","0.0","10.1","0.0","6.0","1.0","1.0","6.0","12.0","0.0","43.0","37.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","2.0","0.0","0.0","0.0","173.0","8.0","10.0","0.0","0.0","1.0","9.0","5.0","4","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1865869","Parr, Brandon","16:1, 17:1, 19:1, 20:1, 13:3, 14:1","8","0.0","8.0","0.0","9.2","0.0","7.0","6.0","4.0","3.0","15.0","0.0","45.0","41.0","2.0","0.0","1.0","1.0","1.0","1.0","0.0","5.0","1.0","0.0","0.0","175.0","4.0","11.0","0.0","0.0","2.0","38.0","5.0","8","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1865870","Rybacki, Devin","1:11, 2:4, 5:1, 9:1","17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","16","0","0","1","0"
"0","Milwaukee","1753545","Ferri, Mike","1:2, 2:3, 3:1, 4:2, 6:5, 7:1, 8:2, 9:1, 10:1","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","2","0","0","0","0","0","15","1","0"
"0","Milwaukee","1865871","Schwecke, Trevor","2:10, 3:9, 4:1","20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","18","0","1","0","0","1","0","0","0"
"0","Milwaukee","1974538","Scaffidi, Joey","1:3, 5:1, 6:1, 7:1, 8:2, 12:2","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","5","0","0","1","6"
"0","Milwaukee","1974539","Scanlan, Oakland","5:1, 6:1, 7:1, 8:5, 9:1, 10:7, 11:2, 14:1","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","19","0","0","0","0","0","0","0","2","0"
"0","Milwaukee","1974536","Kraus, Jack","2:1, 5:1, 7:2, 9:3, 11:2, 13:1","10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","6","0","1","0","0","0","0","2","3","1"
"0","Milwaukee","1753549","Moynihan, John","16:1, 12:1, 13:1, 15:1","4","0.0","4.0","0.0","3.2","0.0","5.0","3.0","3.0","3.0","1.0","0.0","18.0","14.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","63.0","4.0","5.0","0.0","0.0","0.0","11.0","0.0","4","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1974537","Mahoney, Jack","15:2","2","0.0","2.0","0.0","5.0","0.0","5.0","4.0","4.0","3.0","7.0","0.0","24.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","3.0","1.0","1.0","98.0","6.0","2.0","0.0","0.0","1.0","6.0","2.0","2","0","0","0","0","0","0","0","0","0","0","0"
