"Game ID","Team","Player ID","Player","Lineup Position","Games","G","App","GS","IP","CG","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","OrdAppeared","KL","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Milwaukee","1753562","Sommers, Jake","18:1, 19:3, 11:1, 12:1, 13:1, 14:5","12","0.0","12.0","10.0","46.2","0.0","61.0","45.0","36.0","21.0","41.0","0.0","229.0","190.0","10.0","1.0","1.0","4.0","8.0","9.0","0.0","0.0","0.0","4.0","5.0","572.0","38.0","50.0","2.0","8.0","0.0","15.0","13.0","12","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1753560","Vyskocil, Joe","1:1, 2:1, 6:1, 7:5, 8:6, 9:6, 10:2, 11:4, 12:1, 13:1, 14:1","29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","10","0","1","0","0","1","0","15","5","0"
"0","Milwaukee","1974552","Tomfohrde, Patrick","16:1, 17:1, 18:1, 20:1, 11:1, 12:2, 14:4, 15:1","12","0.0","12.0","0.0","24.1","0.0","20.0","10.0","8.0","5.0","21.0","0.0","95.0","89.0","5.0","2.0","0.0","2.0","3.0","1.0","0.0","5.0","0.0","0.0","0.0","277.0","21.0","27.0","1.0","1.0","0.0","42.0","1.0","12","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1753554","Reklaitis, Jared","18:1, 20:1, 12:2, 13:1, 14:3","8","0.0","8.0","6.0","38.0","0.0","39.0","22.0","18.0","22.0","40.0","0.0","177.0","149.0","4.0","1.0","0.0","4.0","7.0","4.0","0.0","1.0","0.0","2.0","0.0","418.0","38.0","30.0","3.0","2.0","0.0","10.0","5.0","8","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1974550","Nogalski, Zach","1:2, 3:2, 4:1, 8:2, 9:3, 10:1, 11:2, 12:3","16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","13","2","2","1"
"0","Milwaukee","1974551","Thelen, Jack","5:1, 6:2, 7:2, 9:1, 10:1, 11:4, 12:1, 13:1","13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","13","0","0","0","0","0","0","0","0","1","0"
"0","Milwaukee","1753552","Quartel, Matt","3:1, 5:4, 6:7, 7:3, 8:5, 9:4, 10:7, 11:1, 12:1, 13:1","34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","2","0","0","0","0","1","12","24","0","1","0"
"0","Milwaukee","1974546","Edwards, Mike","16:1, 18:1, 11:2, 13:1, 14:1","6","0.0","6.0","1.0","14.1","0.0","12.0","6.0","6.0","3.0","10.0","0.0","58.0","54.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","3.0","1.0","0.0","1.0","50.0","14.0","18.0","1.0","0.0","0.0","17.0","1.0","6","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1865872","Serio, Joshua","11:1, 13:1","2","0.0","2.0","0.0","2.0","0.0","1.0","0.0","0.0","2.0","2.0","0.0","9.0","7.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","44.0","1.0","3.0","0.0","0.0","0.0","6.0","2.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1974547","Kreiter, Colin","3:13, 4:7, 5:7, 6:3, 7:2, 8:2","34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","34","1","0","0","0","0"
"0","Milwaukee","1865873","Uselman, Clayton","16:1, 17:1, 21:1, 11:2, 12:1, 15:3","9","0.0","9.0","0.0","6.2","0.0","6.0","1.0","1.0","2.0","4.0","0.0","27.0","25.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","4.0","0.0","0.0","0.0","63.0","6.0","9.0","0.0","0.0","0.0","35.0","1.0","9","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1753559","Vanek, Matt","18:1, 22:1, 11:1, 12:1","4","0.0","4.0","2.0","3.0","0.0","3.0","3.0","3.0","2.0","0.0","0.0","15.0","12.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","53.0","6.0","3.0","0.0","1.0","0.0","6.0","0.0","4","0","0","0","0","0","0","0","0","0","0","0"
