"Year","Year ID","Division","Conference","Team Name","Team ID","Team URL"
"2016","12360","1","AAC","Cincinnati","140","http://stats.ncaa.org/team/140/12360"
"2016","12360","1","AAC","East Carolina","196","http://stats.ncaa.org/team/196/12360"
"2016","12360","1","AAC","Houston","288","http://stats.ncaa.org/team/288/12360"
"2016","12360","1","AAC","Memphis","404","http://stats.ncaa.org/team/404/12360"
"2016","12360","1","AAC","South Fla.","651","http://stats.ncaa.org/team/651/12360"
"2016","12360","1","AAC","Tulane","718","http://stats.ncaa.org/team/718/12360"
"2016","12360","1","AAC","UCF","128","http://stats.ncaa.org/team/128/12360"
"2016","12360","1","AAC","UConn","164","http://stats.ncaa.org/team/164/12360"
"2016","12360","1","ACC","Boston College","67","http://stats.ncaa.org/team/67/12360"
"2016","12360","1","ACC","Clemson","147","http://stats.ncaa.org/team/147/12360"
"2016","12360","1","ACC","Duke","193","http://stats.ncaa.org/team/193/12360"
"2016","12360","1","ACC","Florida St.","234","http://stats.ncaa.org/team/234/12360"
"2016","12360","1","ACC","Georgia Tech","255","http://stats.ncaa.org/team/255/12360"
"2016","12360","1","ACC","Louisville","367","http://stats.ncaa.org/team/367/12360"
"2016","12360","1","ACC","Miami (FL)","415","http://stats.ncaa.org/team/415/12360"
"2016","12360","1","ACC","NC State","490","http://stats.ncaa.org/team/490/12360"
"2016","12360","1","ACC","North Carolina","457","http://stats.ncaa.org/team/457/12360"
"2016","12360","1","ACC","Notre Dame","513","http://stats.ncaa.org/team/513/12360"
"2016","12360","1","ACC","Pittsburgh","545","http://stats.ncaa.org/team/545/12360"
"2016","12360","1","ACC","Virginia","746","http://stats.ncaa.org/team/746/12360"
"2016","12360","1","ACC","Virginia Tech","742","http://stats.ncaa.org/team/742/12360"
"2016","12360","1","ACC","Wake Forest","749","http://stats.ncaa.org/team/749/12360"
"2016","12360","1","ASUN","FGCU","28755","http://stats.ncaa.org/team/28755/12360"
"2016","12360","1","ASUN","Jacksonville","316","http://stats.ncaa.org/team/316/12360"
"2016","12360","1","ASUN","Kennesaw St.","1157","http://stats.ncaa.org/team/1157/12360"
"2016","12360","1","ASUN","Lipscomb","28600","http://stats.ncaa.org/team/28600/12360"
"2016","12360","1","ASUN","NJIT","471","http://stats.ncaa.org/team/471/12360"
"2016","12360","1","ASUN","North Florida","2711","http://stats.ncaa.org/team/2711/12360"
"2016","12360","1","ASUN","Stetson","678","http://stats.ncaa.org/team/678/12360"
"2016","12360","1","ASUN","USC Upstate","10411","http://stats.ncaa.org/team/10411/12360"
"2016","12360","1","America East","Albany (NY)","14","http://stats.ncaa.org/team/14/12360"
"2016","12360","1","America East","Binghamton","62","http://stats.ncaa.org/team/62/12360"
"2016","12360","1","America East","Hartford","272","http://stats.ncaa.org/team/272/12360"
"2016","12360","1","America East","Maine","380","http://stats.ncaa.org/team/380/12360"
"2016","12360","1","America East","Stony Brook","683","http://stats.ncaa.org/team/683/12360"
"2016","12360","1","America East","UMBC","391","http://stats.ncaa.org/team/391/12360"
"2016","12360","1","America East","UMass Lowell","368","http://stats.ncaa.org/team/368/12360"
"2016","12360","1","Atlantic 10","Davidson","173","http://stats.ncaa.org/team/173/12360"
"2016","12360","1","Atlantic 10","Dayton","175","http://stats.ncaa.org/team/175/12360"
"2016","12360","1","Atlantic 10","Fordham","236","http://stats.ncaa.org/team/236/12360"
"2016","12360","1","Atlantic 10","George Mason","248","http://stats.ncaa.org/team/248/12360"
"2016","12360","1","Atlantic 10","George Washington","249","http://stats.ncaa.org/team/249/12360"
"2016","12360","1","Atlantic 10","La Salle","340","http://stats.ncaa.org/team/340/12360"
"2016","12360","1","Atlantic 10","Massachusetts","400","http://stats.ncaa.org/team/400/12360"
"2016","12360","1","Atlantic 10","Rhode Island","572","http://stats.ncaa.org/team/572/12360"
"2016","12360","1","Atlantic 10","Richmond","575","http://stats.ncaa.org/team/575/12360"
"2016","12360","1","Atlantic 10","Saint Joseph's","606","http://stats.ncaa.org/team/606/12360"
"2016","12360","1","Atlantic 10","Saint Louis","609","http://stats.ncaa.org/team/609/12360"
"2016","12360","1","Atlantic 10","St. Bonaventure","596","http://stats.ncaa.org/team/596/12360"
"2016","12360","1","Atlantic 10","VCU","740","http://stats.ncaa.org/team/740/12360"
"2016","12360","1","Big 12","Baylor","51","http://stats.ncaa.org/team/51/12360"
"2016","12360","1","Big 12","Kansas","328","http://stats.ncaa.org/team/328/12360"
"2016","12360","1","Big 12","Kansas St.","327","http://stats.ncaa.org/team/327/12360"
"2016","12360","1","Big 12","Oklahoma","522","http://stats.ncaa.org/team/522/12360"
"2016","12360","1","Big 12","Oklahoma St.","521","http://stats.ncaa.org/team/521/12360"
"2016","12360","1","Big 12","TCU","698","http://stats.ncaa.org/team/698/12360"
"2016","12360","1","Big 12","Texas","703","http://stats.ncaa.org/team/703/12360"
"2016","12360","1","Big 12","Texas Tech","700","http://stats.ncaa.org/team/700/12360"
"2016","12360","1","Big 12","West Virginia","768","http://stats.ncaa.org/team/768/12360"
"2016","12360","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12360"
"2016","12360","1","Big East","Creighton","169","http://stats.ncaa.org/team/169/12360"
"2016","12360","1","Big East","Georgetown","251","http://stats.ncaa.org/team/251/12360"
"2016","12360","1","Big East","Seton Hall","635","http://stats.ncaa.org/team/635/12360"
"2016","12360","1","Big East","St. John's (NY)","603","http://stats.ncaa.org/team/603/12360"
"2016","12360","1","Big East","Villanova","739","http://stats.ncaa.org/team/739/12360"
"2016","12360","1","Big East","Xavier","812","http://stats.ncaa.org/team/812/12360"
"2016","12360","1","Big South","Campbell","115","http://stats.ncaa.org/team/115/12360"
"2016","12360","1","Big South","Charleston So.","48","http://stats.ncaa.org/team/48/12360"
"2016","12360","1","Big South","Coastal Caro.","149","http://stats.ncaa.org/team/149/12360"
"2016","12360","1","Big South","Gardner-Webb","1092","http://stats.ncaa.org/team/1092/12360"
"2016","12360","1","Big South","High Point","19651","http://stats.ncaa.org/team/19651/12360"
"2016","12360","1","Big South","Liberty","355","http://stats.ncaa.org/team/355/12360"
"2016","12360","1","Big South","Longwood","363","http://stats.ncaa.org/team/363/12360"
"2016","12360","1","Big South","Presbyterian","1320","http://stats.ncaa.org/team/1320/12360"
"2016","12360","1","Big South","Radford","563","http://stats.ncaa.org/team/563/12360"
"2016","12360","1","Big South","UNC Asheville","456","http://stats.ncaa.org/team/456/12360"
"2016","12360","1","Big South","Winthrop","792","http://stats.ncaa.org/team/792/12360"
"2016","12360","1","Big Ten","Illinois","301","http://stats.ncaa.org/team/301/12360"
"2016","12360","1","Big Ten","Indiana","306","http://stats.ncaa.org/team/306/12360"
"2016","12360","1","Big Ten","Iowa","312","http://stats.ncaa.org/team/312/12360"
"2016","12360","1","Big Ten","Maryland","392","http://stats.ncaa.org/team/392/12360"
"2016","12360","1","Big Ten","Michigan","418","http://stats.ncaa.org/team/418/12360"
"2016","12360","1","Big Ten","Michigan St.","416","http://stats.ncaa.org/team/416/12360"
"2016","12360","1","Big Ten","Minnesota","428","http://stats.ncaa.org/team/428/12360"
"2016","12360","1","Big Ten","Nebraska","463","http://stats.ncaa.org/team/463/12360"
"2016","12360","1","Big Ten","Northwestern","509","http://stats.ncaa.org/team/509/12360"
"2016","12360","1","Big Ten","Ohio St.","518","http://stats.ncaa.org/team/518/12360"
"2016","12360","1","Big Ten","Penn St.","539","http://stats.ncaa.org/team/539/12360"
"2016","12360","1","Big Ten","Purdue","559","http://stats.ncaa.org/team/559/12360"
"2016","12360","1","Big Ten","Rutgers","587","http://stats.ncaa.org/team/587/12360"
"2016","12360","1","Big West","CSUN","101","http://stats.ncaa.org/team/101/12360"
"2016","12360","1","Big West","Cal Poly","90","http://stats.ncaa.org/team/90/12360"
"2016","12360","1","Big West","Cal St. Fullerton","97","http://stats.ncaa.org/team/97/12360"
"2016","12360","1","Big West","Hawaii","277","http://stats.ncaa.org/team/277/12360"
"2016","12360","1","Big West","Long Beach St.","99","http://stats.ncaa.org/team/99/12360"
"2016","12360","1","Big West","UC Davis","108","http://stats.ncaa.org/team/108/12360"
"2016","12360","1","Big West","UC Irvine","109","http://stats.ncaa.org/team/109/12360"
"2016","12360","1","Big West","UC Riverside","111","http://stats.ncaa.org/team/111/12360"
"2016","12360","1","Big West","UC Santa Barbara","104","http://stats.ncaa.org/team/104/12360"
"2016","12360","1","C-USA","Charlotte","458","http://stats.ncaa.org/team/458/12360"
"2016","12360","1","C-USA","FIU","231","http://stats.ncaa.org/team/231/12360"
"2016","12360","1","C-USA","Fla. Atlantic","229","http://stats.ncaa.org/team/229/12360"
"2016","12360","1","C-USA","Louisiana Tech","366","http://stats.ncaa.org/team/366/12360"
"2016","12360","1","C-USA","Marshall","388","http://stats.ncaa.org/team/388/12360"
"2016","12360","1","C-USA","Middle Tenn.","419","http://stats.ncaa.org/team/419/12360"
"2016","12360","1","C-USA","Old Dominion","523","http://stats.ncaa.org/team/523/12360"
"2016","12360","1","C-USA","Rice","574","http://stats.ncaa.org/team/574/12360"
"2016","12360","1","C-USA","Southern Miss.","664","http://stats.ncaa.org/team/664/12360"
"2016","12360","1","C-USA","UAB","9","http://stats.ncaa.org/team/9/12360"
"2016","12360","1","C-USA","UTSA","706","http://stats.ncaa.org/team/706/12360"
"2016","12360","1","C-USA","Western Ky.","772","http://stats.ncaa.org/team/772/12360"
"2016","12360","1","CAA","Col. of Charleston","1014","http://stats.ncaa.org/team/1014/12360"
"2016","12360","1","CAA","Delaware","180","http://stats.ncaa.org/team/180/12360"
"2016","12360","1","CAA","Elon","1068","http://stats.ncaa.org/team/1068/12360"
"2016","12360","1","CAA","Hofstra","283","http://stats.ncaa.org/team/283/12360"
"2016","12360","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12360"
"2016","12360","1","CAA","Northeastern","500","http://stats.ncaa.org/team/500/12360"
"2016","12360","1","CAA","Towson","711","http://stats.ncaa.org/team/711/12360"
"2016","12360","1","CAA","UNCW","460","http://stats.ncaa.org/team/460/12360"
"2016","12360","1","CAA","William & Mary","786","http://stats.ncaa.org/team/786/12360"
