"Game ID","Team","Player ID","Player","Lineup Position","Games","G","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Milwaukee","1753545","Ferri, Mike","1:16, 2:8, 3:6, 4:5, 6:5, 7:2, 8:2, 9:1, 10:1, 13:1","47","0.0","19.0","167.0","50.0","11.0","0.0","70.0","3.0","15.0","16.0","6.0","0.0","1.0","28.0","7.0","3.0","0.0","8.0","0.0","0","0","0","19","0","0","0","0","0","26","2","0"
"0","Milwaukee","1865871","Schwecke, Trevor","1:1, 2:27, 3:17, 4:7, 5:2","54","0.0","43.0","217.0","69.0","11.0","1.0","91.0","3.0","39.0","21.0","1.0","3.0","2.0","31.0","6.0","2.0","0.0","19.0","0.0","0","0","0","38","0","13","0","0","7","0","0","0"
"0","Milwaukee","1974538","Scaffidi, Joey","1:11, 4:1, 5:2, 6:2, 7:6, 8:6, 9:1, 11:1, 12:2, 14:1","33","0.0","13.0","32.0","5.0","0.0","0.0","8.0","1.0","6.0","5.0","0.0","0.0","1.0","17.0","0.0","3.0","0.0","7.0","0.0","0","0","0","0","0","0","0","18","0","1","5","19"
"0","Milwaukee","1974539","Scanlan, Oakland","5:1, 6:4, 7:5, 8:11, 9:8, 10:12, 11:2, 12:1, 13:3, 14:2","49","0.0","17.0","140.0","36.0","5.0","0.0","50.0","3.0","25.0","13.0","4.0","2.0","1.0","48.0","6.0","0.0","0.0","4.0","0.0","0","0","48","0","0","0","0","0","0","1","2","0"
"0","Milwaukee","1974536","Kraus, Jack","2:3, 3:1, 5:3, 7:3, 8:2, 9:5, 10:1, 11:3, 12:3, 13:1, 14:1","26","0.0","4.0","36.0","6.0","2.0","0.0","8.0","0.0","5.0","5.0","2.0","0.0","0.0","18.0","0.0","0.0","0.0","1.0","0.0","0","3","10","0","1","0","1","0","0","4","13","1"
"0","Milwaukee","1753549","Moynihan, John","16:1, 17:3, 18:1, 12:3, 13:2, 14:1, 15:3","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1974537","Mahoney, Jack","17:1, 18:2, 11:1, 12:1, 14:1, 15:2","8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1974534","Cross, Bryce","7:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","0","0","0","0","0","0","0","1","0"
"0","Milwaukee","1974535","Goodman, Conner","1:1, 3:1, 4:2, 5:2, 6:3, 8:3, 9:1, 10:2, 11:1","16","0.0","4.0","19.0","3.0","2.0","0.0","5.0","0.0","5.0","3.0","0.0","0.0","0.0","8.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","7","0","2","2","9","1"
"0","Milwaukee","1974533","Bordner, Tyler","4:1, 5:10, 6:12, 7:12, 8:6, 9:1, 10:4, 11:1, 12:2","49","0.0","24.0","170.0","41.0","15.0","1.0","73.0","5.0","31.0","9.0","3.0","3.0","1.0","43.0","6.0","0.0","0.0","2.0","0.0","0","43","0","0","0","0","0","0","1","5","0","0"
"0","Milwaukee","1637224","Schulfer, Austin","16:1, 19:1, 6:1, 10:1, 13:5, 14:3, 15:3","15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14","1","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1865829","Blake, Reed","16:2, 17:1, 18:1, 20:1, 11:2, 12:5, 14:1","13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1865830","Chally, Ben","3:4, 4:24, 5:12, 6:7, 7:3, 8:2, 9:2","54","0.0","34.0","214.0","59.0","6.0","0.0","77.0","4.0","33.0","14.0","7.0","2.0","1.0","30.0","4.0","1.0","0.0","6.0","0.0","0","0","0","1","54","1","0","0","0","0","0","0"
"0","Milwaukee","1637218","Goodman, Elijah","16:2, 17:1, 18:1, 20:1, 10:1, 11:2, 14:1, 15:2","11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11","0","0","0","0","0","0","0","0","0","0","0"
"0","Milwaukee","1637221","McIntosh, Alex","16:6, 17:1, 10:1, 13:3, 14:2","13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13","0","0","0","0","0","0","0","0","0","0","0"
"0","Lindenwood (IL)","-6017","Crook","4:1","1","0.0","0.0","4.0","2.0","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","Lindenwood (IL)","-6018","Stockley","5:1","1","0.0","0.0","4.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"0","Lindenwood (IL)","-6019","Spencer","6:1","1","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","1","0","0","0","0","0","0","0","0"
"0","Lindenwood (IL)","-6020","Hansen, E","7:1","1","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","1","0","0","0","0","0"
"0","Lindenwood (IL)","-6021","Dorris","8:1","1","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1","0","0","0"
"0","Lindenwood (IL)","-6022","Norman","9:1","1","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","Lindenwood (IL)","-6023","Fuller","10:1","1","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","Lindenwood (IL)","-6024","Draffen","11:1","1","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","0","0","0","0","0","0","0"
"0","Lindenwood (IL)","-6025","Evans","12:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","Lindenwood (IL)","-6026","Eshleman","13:1","1","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","0","0","0","0","0","1"
"0","Lindenwood (IL)","-6027","Whiteman","14:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Lindenwood (IL)","-6028","Hansen, D","15:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Lindenwood (IL)","-6029","Paschen","16:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
